Wall time,Step,Value
1611178286.1400065,30006,0.35652434825897217
1611178301.5124867,30032,0.4405858516693115
1611178328.687916,30078,0.43807369470596313
1611178337.5482655,30093,0.48177647590637207
1611178385.3637848,30175,0.43418657779693604
1611178425.9135828,30244,0.5041822791099548
1611178450.2485723,30285,0.4142196774482727
1611178475.6207936,30328,0.4568967819213867
1611178553.7842286,30460,0.4906349182128906
1611178560.2718074,30471,0.5005379915237427
1611178620.6470287,30573,0.48562490940093994
1611178644.2208333,30613,0.576414942741394
1611178699.3744369,30707,0.6227389574050903
1611178707.590815,30721,0.41963595151901245
1611178718.2152395,30739,0.6390328407287598
1611178904.2968762,31053,0.5434589385986328
1611178935.6401377,31106,0.5633810758590698
1611179113.6873262,31407,0.39055049419403076
1611179135.60328,31444,0.5419907569885254
1611179284.3055182,31697,0.41885924339294434
1611179299.7032256,31723,0.5360870361328125
1611179350.6362557,31809,0.4623081088066101
1611179389.155503,31874,0.5536137819290161
1611179393.294531,31881,0.45466166734695435
1611179398.0658426,31889,0.5919923782348633
1611179426.4582357,31937,0.368704617023468
1611179431.8482795,31946,0.49606776237487793
1611179466.9548206,32005,0.49448126554489136
1611179474.6877005,32018,0.5141052007675171
1611179568.6107185,32175,0.4571865200996399
1611179588.016828,32208,0.4820481538772583
1611179612.5329432,32250,0.45017510652542114
1611179722.2389235,32436,0.5389999151229858
1611179777.377512,32530,0.40425100922584534
1611179785.0027115,32543,0.5022829174995422
1611179825.0809743,32612,0.4265250265598297
1611179852.0477562,32658,0.3420864939689636
1611179880.9917274,32707,0.46397364139556885
1611179914.0612302,32763,0.5286020636558533
1611179992.1152654,32895,0.5128008723258972
1611179996.8569894,32903,0.43307429552078247
1611180056.0389774,33003,0.5968568325042725
1611180063.157033,33015,0.47838401794433594
1611180074.987398,33035,0.5082857608795166
1611180144.66721,33153,0.4212372899055481
1611180160.4097126,33180,0.453075110912323
1611180161.5860052,33182,0.42307382822036743
1611180214.8211365,33272,0.5360208749771118
1611180256.3225873,33342,0.5219283699989319
1611180272.2607226,33369,0.36509814858436584
1611180276.3954859,33376,0.41725778579711914
1611180292.806019,33404,0.4686109125614166
1611180372.9520082,33540,0.5221929550170898
1611180427.1190603,33632,0.43904638290405273
1611180484.4478722,33729,0.5453001260757446
